model,type,rho
BigSkate_2019,SBO,-0.0428745491841206
Empirical_Wtatage_Age_Selex,SBO,-0.124468263362005
growth_timevary,SBO,0.00556841676344596
Hake_2018,SBO,0.121918380718509
Hake_2019_semi_parametric_selex,SBO,0.194948744202255
platoons,SBO,0.207176166351723
Sablefish2015,SBO,
Simple,SBO,-0.161898493228492
Simple_Lorenzen_tv_trend,SBO,-0.166476420853451
Simple_NoCPUE,SBO,-0.161145560603561
Simple_with_Discard,SBO,-0.151758755208836
Simple_with_DM_sizefreq,SBO,-0.58899834638733
Spinydogfish_2011,SBO,-0.294989732761001
tagging_mirrored_sel,SBO,0.00207631027572647
three_area_nomove,SBO,0.0774858685575393
two_morph_seas_areas,SBO,-0.10060685000833
vermillion_snapper,SBO,0.110389510670355
vermillion_snapper_F4,SBO,0.110529828240543
